pid,registry_name,registry_parser,registry_maxX,registry_maxY,registry_maxP,registry_confidence,kernel_name,kernel_maxX,kernel_maxY,kernel_maxP,kernel_type,otd_name,otd_maxX,otd_maxY,otd_maxP,otd_parser,verdict,notes
0x0042,Intuos 2 (6×8),intuosV1,20320,16240,1023,experimental,Wacom Intuos2 6x8,20320,16240,1023,INTUOS,Wacom XD-0608-U,40640,32480,2046,WacomDriverIntuosV1ReportParser,otd_disagrees,OTD maxX=40640 (registry 20320); OTD maxY=32480 (registry 16240); OTD maxP=2046 (registry 1023)
0x0043,Intuos 2 (9×12),intuosV1,30480,24060,1023,experimental,Wacom Intuos2 9x12,30480,24060,1023,INTUOS,Wacom XD-0912-U,60960,48120,2046,WacomDriverIntuosV1ReportParser,otd_disagrees,OTD maxX=60960 (registry 30480); OTD maxY=48120 (registry 24060); OTD maxP=2046 (registry 1023)
0x0044,Intuos 2 (12×12),intuosV1,30480,31680,1023,experimental,Wacom Intuos2 12x12,30480,31680,1023,INTUOS,Wacom XD-1212-U,60960,63360,2046,WacomDriverIntuosV1ReportParser,otd_disagrees,OTD maxX=60960 (registry 30480); OTD maxY=63360 (registry 31680); OTD maxP=2046 (registry 1023)
0x0045,Intuos 2 (12×18),intuosV1,45720,31680,1023,experimental,Wacom Intuos2 12x18,45720,31680,1023,INTUOS,Wacom XD-1218-U,91440,63360,2046,WacomDriverIntuosV1ReportParser,otd_disagrees,OTD maxX=91440 (registry 45720); OTD maxY=63360 (registry 31680); OTD maxP=2046 (registry 1023)
0x00B0,Intuos3 4×5 (PTZ-431),intuos3,25400,20320,1023,experimental,Wacom Intuos3 4x5,25400,20320,1023,INTUOS3S,Wacom PTZ-430,25400,20320,2046,WacomDriverIntuos3ReportParser,otd_disagrees,OTD maxP=2046 (registry 1023)
0x00B1,Intuos3 6×8 (PTZ-631),intuos3,40640,30480,1023,experimental,Wacom Intuos3 6x8,40640,30480,1023,INTUOS3,Wacom PTZ-630,40640,30480,2046,WacomDriverIntuos3ReportParser,otd_disagrees,OTD maxP=2046 (registry 1023)
0x00B2,Intuos3 9×12 (PTZ-930),intuos3,60960,45720,1023,experimental,Wacom Intuos3 9x12,60960,45720,1023,INTUOS3,Wacom PTZ-930,60960,45720,2046,WacomDriverIntuos3ReportParser,otd_disagrees,OTD maxP=2046 (registry 1023)
0x00B3,Intuos3 12×12 (PTZ-1231),intuos3,60960,60960,1023,experimental,Wacom Intuos3 12x12,60960,60960,1023,INTUOS3L,Wacom PTZ-1230,60960,60960,2046,WacomDriverIntuos3ReportParser,otd_disagrees,OTD maxP=2046 (registry 1023)
0x00B4,Intuos3 12×19 (PTZ-1231W),intuos3,97536,60960,1023,verified,Wacom Intuos3 12x19,97536,60960,1023,INTUOS3L,Wacom PTZ-1231W,97536,60960,2046,WacomDriverIntuos3ReportParser,otd_disagrees,OTD maxP=2046 (registry 1023)
0x00B5,Intuos3 WS (PTZ-631W),intuos3,54204,31750,2046,verified,Wacom Intuos3 6x11,54204,31750,1023,INTUOS3,Wacom PTZ-631W,54204,31750,2046,WacomDriverIntuos3ReportParser,kernel_disagrees,kernel maxP=1023 (registry 2046)
0x00B7,Intuos3 4×6 (PTZ-431W),intuos3,31496,19685,1023,experimental,Wacom Intuos3 4x6,31496,19685,1023,INTUOS3S,Wacom PTZ-431W,31496,19685,2046,WacomDriverIntuos3ReportParser,otd_disagrees,OTD maxP=2046 (registry 1023)
0x00B8,Intuos4 S (PTK-440),intuosV1,31496,19685,2047,experimental,Wacom Intuos4 4x6,31496,19685,2047,INTUOS4S,Wacom PTK-440,31496,19685,2047,WacomDriverIntuosV1ReportParser,cross_referenced,kernel + OTD both agree with registry
0x00B9,Intuos4 M (PTK-640),intuosV1,44704,27940,2047,experimental,Wacom Intuos4 6x9,44704,27940,2047,INTUOS4,Wacom PTK-640,44704,27940,2047,WacomDriverIntuosV1ReportParser,cross_referenced,kernel + OTD both agree with registry
0x00BA,Intuos4 L (PTK-840),intuosV1,63494,39370,2047,experimental,Wacom Intuos4 8x13,65024,40640,2047,INTUOS4L,Wacom PTK-840,65024,40640,2047,WacomDriverIntuosV1ReportParser,kernel_disagrees,registry differs from BOTH kernel AND OTD: kernel maxX=65024 (registry 63494); kernel maxY=40640 (registry 39370)
0x00BB,Intuos4 XL (PTK-1240),intuosV1,97536,60960,2047,experimental,Wacom Intuos4 12x19,97536,60960,2047,INTUOS4L,Wacom PTK-1240,97536,60960,2047,WacomDriverIntuosV1ReportParser,cross_referenced,kernel + OTD both agree with registry
